Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0115ZZB,2006.03,3410,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2007.03,3640,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2008.03,4176,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2009.03,4450,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2010.03,4525,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2011.03,4869,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2012.03,5008,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2013.03,4836,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2014.03,5516,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2015.03,5264,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2016.03,5110,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2017.03,5595,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2018.03,6118,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2019.03,6455,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2020.03,6660,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2021.03,6693,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2022.03,7396,PROVISIONAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0118AA1,2000.03,90,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2001.03,117,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2002.03,134,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2003.03,99,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2004.03,132,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2005.03,106,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2006.03,101,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2007.03,176,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2008.03,192,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2009.03,222,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2010.03,188,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2011.03,166,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2012.03,203,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2013.03,186,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2014.03,291,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2015.03,313,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2016.03,260,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2017.03,359,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2018.03,342,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2019.03,353,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2020.03,362,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
RNAA.SG01NAC34B0118AA1,2021.03,392,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Marlborough,Agriculture,,
